video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
kXFoewY98K8,2025-12-02 21:00:54+00:00,Vicente Fernández - La Derrota (Letra),Chilleando Beats,Music,"vicente fernandez la derrota, la derrota vicente fernandez, vicente fernandez la derrota letra, vicente fernandez la derrota lyrics, lyrics vicente fernandez la derrota, vicente fernandez lyrics la derrota, la derrota vicente fernandez lyrics, la derrota letra vicente fernandez, letra la derrota vicente fernandez, la derrota lyrics vicente fernandez, lyrics la derrota vicente fernandez, vicente fernandez la derrota letra lyrics, la derrota - vicente fernandez (letra/lyrics)",194,hd,False,True,235446,449,2
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,6101816,523772,29607
Ntp522Cad-s,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,False,True,1041920,25605,2756
LEz_eHbD15w,2025-12-02 23:00:31+00:00,Beéle - si te pillara (LETRA),FlowVerso,Music,,184,hd,False,True,541269,415,3
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,True,True,2698345,197374,14421
UTMgWmlb3xY,2025-12-07 21:35:52+00:00,Sobreviví de Nacimiento a Muerte como un INMORTAL de ORO,Nacho,Gaming,"nacho, dagar, nacho minecraft, dagar y nacho, nacho y dagar, minecraft, minecraft mod, ciclo de la vida, ciclo de vida, dagar minecraft, oro, rey del oro, todo lo que toco, diamante minecraft, oro en minecraft, minecraft evolucion de oro, oro minecraft, dorado, dorado minecraft, inmortal, inmortal minecraft, inmortal de oro minecraft, nacimiento a muerte, nacimiento a muerte minecraft",1266,hd,False,True,154012,3583,189
YcBUfrOguRQ,2025-12-07 23:00:43+00:00,KAROL G - Ivonny Bonita (Official Video),KarolGVEVO,Music,"karol, karolg, bichota, si antes te hubiera conocido, sathc, latina foreva, latina forever, ivonny, bonita, la reina presenta, papasito, dile luna, cuando me muera te olvido, cmmto, coleccionando heridas, marco antonio solis, el buki, un gatito me llamo, amiga mia, bandida entrenada, ese hombre es malo, su boca la amo, verano rosa, feid, no puedo vivir sin el, tu perfume, fkn movie, mariah angeliq, se puso linda, viajando por el mundo, manu chao, tropicoqueta",231,hd,False,True,186761,31685,3324
ODQi85iKTk4,2025-12-02 21:13:10+00:00,REACCIONANDO A TRAILERS FUNABLES DE DISNEY #2 🤡,Speak,Entertainment,"REACCIONANDO A TRAILERS FUNABLES DE DISNEY 🤡, reaccionando, trailers, funables, de, disney, meme, memes, comedia, entretenimiento, johan speak, johan, speak, reaccionando a trailers, trailers funables de disney, trailers de disney con ia, parte 2, segunda parte, #2",761,hd,False,True,587054,27341,884
t1oHJVjVcxc,2025-12-07 16:32:10+00:00,Sobreviví 25 Dias en ONEBLOCK... de Terror,Rubius Z,Gaming,"elrubius, rubius, serie, oneblock, terror, minecraft terror, mod, oneblock terror, oneblock minecraft, rubius oneblock, rubius serie, isla, skyblock, nuevo, minecraft, mods, one block, minecraft one block rubius, one-block, one block 3, herobrine, casa, isla minecraft, ep 3, rubius oneblock 3, isla terror, barcos, diamante, trampa, truco",1936,hd,False,True,804875,68212,1617
2vqHVU-DMZc,2025-12-03 22:30:06+00:00,Fuerza Regida - TU SANCHO (LYRICS),Pop Culture,Music,,179,hd,False,True,866908,776,4
