video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
pj0S059Ov2I,KH,2025-12-20 02:21:16.761362+00:00,2025-12-13 21:30:08+00:00,TEPPISETH - ម្ដងទៀតហេីយ (AGAIN & AGAIN),TEPPISETH - ម្ដងទៀតហេីយ (AGAIN & AGAIN),Tep Piseth,UC7HLNkCR3gyZpcq7Qfjhx9g,10,Music,"TPS, Tep Piseth, V9.17, Rapper, Khmer Young Rapper, 20'OutNow, Khmer Rapper, again and again, ម្តងទៀតហើយ, ម្តងទៀតហើយ Again and Again, Thai starts the war",11,https://i.ytimg.com/vi/pj0S059Ov2I/hqdefault.jpg,km,km,False,192,PT3M12S,hd,true,False,,,607266,22843,756
YqdAEdkHrwo,KH,2025-12-20 02:21:16.761401+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,false,True,,,15915435,375373,20949
ZFUEUAcRJq8,KH,2025-12-20 02:21:16.761413+00:00,2025-12-16 06:54:20+00:00,រឿង~គ្រួសារចិត្តល្អ~Sakuraschool Simulator~,រឿង~គ្រួសារចិត្តល្អ~Sakuraschool Simulator~,Yana Hong,UCvQqGawc5PHHknuhx4HTL1g,23,Comedy,,0,https://i.ytimg.com/vi/ZFUEUAcRJq8/hqdefault.jpg,km,und,False,996,PT16M36S,hd,false,True,,,177675,806,90
YPCYvxeYDUI,KH,2025-12-20 02:21:16.761423+00:00,2025-12-13 14:16:33+00:00,MC Bull ទឹកភ្នែកប្រជាជនខ្ញុំ Tears of My People Tuk Pnek Prachachon Khnhom,MC Bull ទឹកភ្នែកប្រជាជនខ្ញុំ Tears of My People Tuk Pnek Prachachon Khnhom,MC BULL,UCrCckeY23qBpXmjmF3ulSkg,10,Music,"MCBULLOFFICIAL, MCBull, Music, MBTEAM, MC BULL, Cambodia Music, Cambodia Rap, Khmer Rap, Mc Bull Music, Mc Bull, mc bull, mc, bull, bullmc, bull mc, dj bull, mb, mbteam, mb studio, mc bull new song, MC BULL ព្រំដែន Border-Prom Den, ព្រំដែន, Border, Prom Den, MC BULL ព្រំដែន, ទឹកភ្នែកប្រជាជនខ្ញុំ Tuk Pnek Prachachon Khnhom, ទឹកភ្នែកប្រជាជនខ្ញុំ, Tuk Pnek Prachachon Khnhom, Tears of My People",29,https://i.ytimg.com/vi/YPCYvxeYDUI/hqdefault.jpg,en,en-US,False,234,PT3M54S,hd,true,True,,,168031,3226,106
XYM52ZDJ1Ck,KH,2025-12-20 02:21:16.761432+00:00,2025-12-10 04:00:25+00:00,ដាវដែលមិនគួរមាននៅក្នុង Minecraft!,ដាវដែលមិនគួរមាននៅក្នុង Minecraft!,MetaanieMC,UCecqN_Ro-mNbhq8sLiQATRw,20,Gaming,"ដាវដែលមិនគួរមាននៅក្នុង Minecraft!, minecraft, minecraft pvp, minecraft sword",4,https://i.ytimg.com/vi/XYM52ZDJ1Ck/hqdefault.jpg,km,km,False,2416,PT40M16S,hd,false,True,,,385475,25030,957
CZqOncVg3vs,KH,2025-12-20 02:21:16.761441+00:00,2025-12-13 15:02:09+00:00,1NE - KDMATHAI​ (កដម អាថៃ),1NE - KDMATHAI​ (កដម អាថៃ),1NE,UCgcEqYsDmTTga2RTbE0QAdQ,10,Music,,0,https://i.ytimg.com/vi/CZqOncVg3vs/hqdefault.jpg,en,km,False,186,PT3M6S,hd,true,True,,,133015,5059,241
rQy08-tI1ts,KH,2025-12-20 02:21:16.761448+00:00,2025-12-14 10:10:59+00:00,ព្រេងនិទានព្រះបុរាណ ភាគទី61 | Tales of Herding Gods | បក្ស MVS 2026,ព្រេងនិទានព្រះបុរាណ ភាគទី61 | Tales of Herding Gods | បក្ស MVS 2026,បក្ស MVS 2026,UCCYCe7SV89g1EXTLKlHhtnw,1,Film & Animation,"ព្រេងនិទានព្រះបុរាណ ភាគទី62, Tales of Herding Gods EP62, ព្រេងនិទានព្រះបុរាណ ភាគទី61, Tales of Herding Gods EP61, ព្រេងនិទានព្រះបុរាណ ភាគទី60, Tales of Herding Gods EP60, ព្រេងនិទានព្រះបុរាណ ភាគទី59, Tales of Herding Gods EP59, ព្រេងនិទានព្រះបុរាណ ភាគទី58, Tales of Herding Gods EP58, movie review, story recapped, movie explained, movie commentary, movie recap, anime recap, សម្រាយរឿង, សម្រាយរឿង Anime, anime explained, explained",20,https://i.ytimg.com/vi/rQy08-tI1ts/hqdefault.jpg,km,en,False,702,PT11M42S,hd,false,True,,,116483,12792,187
7ZYYb1-nzrs,KH,2025-12-20 02:21:16.761456+00:00,2025-12-05 13:00:06+00:00,GMENGZ - SHE LOVE GANGSTA នាងស្រលាញ់ក្មេងស្ទាវ [OFFICIAL MUSIC VIDEO],GMENGZ - SHE LOVE GANGSTA នាងស្រលាញ់ក្មេងស្ទាវ [OFFICIAL MUSIC VIDEO],GMENGZ,UCqDgGN5PT5dqa5t8p_jT9Vw,10,Music,,0,https://i.ytimg.com/vi/7ZYYb1-nzrs/hqdefault.jpg,en,km,False,191,PT3M11S,hd,true,True,,,855955,17083,562
S_cShDud1MY,KH,2025-12-20 02:21:16.761463+00:00,2025-12-19 06:29:09+00:00,កំហឹង Villager ក្នុង Minecraft !!!,កំហឹង Villager ក្នុង Minecraft !!!,Vk - វីខេ,UChGsT_RhIHHuU5bGf-xXTCA,20,Gaming,"VK gaming, Selena Gaming, HH, vpro, minecraft, minecraft kh, minecraft but, VK minecraft, vk Minecraft, Vk Gaming Minecraft, Pumping Simulator 2, Minecraft But, Minecraft Challage, pumping simulator 2, vpro car simulator, minecraft mod khmer, minecraft sever khmer, selena minecraft, Minecraft but, Vk gaming minecraft khmer, Minecraft Tektopia, Minecraft mod Pack, hh Minecraft, craft giant item minecraft, gameplay",25,https://i.ytimg.com/vi/S_cShDud1MY/hqdefault.jpg,km,und,False,1540,PT25M40S,hd,false,True,,,50534,2162,112
d5eEMVVHqGo,KH,2025-12-20 02:21:16.761471+00:00,2025-12-11 12:34:30+00:00,ទោះជីវិតសូន្យស៊ូថែទឹកដី,ទោះជីវិតសូន្យស៊ូថែទឹកដី,ខេមរៈ សិរីមន្ត - Topic,UC7y3h506HqRXaMSXdJw2c6g,10,Music,"ខេមរៈ សិរីមន្ត, ទោះជីវិតសូន្យស៊ូថែទឹកដី",2,https://i.ytimg.com/vi/d5eEMVVHqGo/hqdefault.jpg,km,und,False,273,PT4M33S,hd,false,True,,,121546,959,0
