video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
-8Qi8PCZ8uA,2025-11-30 11:00:06+00:00,Shirma Shirbandi - Samikshya Adhikari | Subash Khatri | Prabhat Pal Thakuri | New Nepali Song,Samikshya Adhikari,Music,"Shirma Shirbandi Song, Samikshya Adhikari New Song, Subash Khatri New Song, Prabhat Pal Thakuri, New Song, Nepali Song, New Nepali Song, New Song 2082, Nepali Song 2025, Latest Song, Popular Song, Best Song, Hit Song, Folk Song, Dancing Song, Nepali Music, New Music Video, Music Video, Hit Nepali Song, Song, New, Thamel Bajar Ma Timlai Dekheko, Raichha Bheta Huna Lekheko, Shirma Shirbadi, Meri Mayalai Upahar Chhadke Galbandhi, Bharkhar Bharkhar Mata Sahar Jhareki",501,hd,False,True,2536295,37963,1124.0
mu0mCHlBDCM,2025-12-02 01:30:45+00:00,"Official Movie Trailer 2025 - Duulhaniya Naach Nachaye | Smrity Sinha, Shubhi Sharma, Anshuman Singh",Bhojpuri Cinema TV Channel,Entertainment,"bhojpuri movie, bhojpuri film, bhojpuri picture, भोजपुरी फिल्म, new bhojpuri movie, Dulhaniya Naach Nachaye, new trailer, bhojpuri movie trailer, trailer 2025, upcoming movies, hit movies, new movie, Smrity Sinha, Shubhi Sharma, Anshuman Singh, comedy movie, bhojpuri comedy film, naya film, shubhi sharma new movie, full video, smrity sinha full video, full comedy movie, saas bahu video, saas bahu bhojpuri movie, video, trailer, bhojpuri new trailer, official trailer",251,hd,False,True,1562760,8160,72.0
p9FmfYBMlIA,2025-12-03 09:54:54+00:00,Carry & Doorbin What's Inside Minecraft Blocks?,Carry Depie,Gaming,"carry depie, minecraft",1086,hd,False,True,1590749,18499,764.0
UeiqkpLTOX4,2025-11-11 10:00:07+00:00,Jhaliko झलिको - Arjun Sapkota | Melina Rai | Samikshya Adhikari | Kusum Bhandari | New Nepali Song,Arjun Sapkota,Music,"Jhaliko, Arjun Sapkota, New Nepali Song, Melina Rai, Samikshya Adhikari, Krishna Reule, HBN Kismat, Dipa Simkhada, New Nepali Song 2025, New Nepali Song 2082, Kusum Bhandari, Shibu Pandey, Jhaliko timro yaad aliko himal bhandani, Music, song, video, lok dohori, Nepali lok video, dohori song, dancing song, New video, dohori geet, lok video, Nepali lok git, Nepali video, song new, new song, music video, new video, Arjun Sapkota new song, Melina Rai song, Santosh Sapkota",826,hd,False,True,12443183,168254,8605.0
RyAr0H1tNU4,2025-12-05 10:15:31+00:00,"MIRMIRE - Movie Official Teaser 2082 | Dayahang Rai, Prakash Saput, Srijana Ninglekhu, Maotse Gurung",OSR Digital,Film & Animation,"OSR Digital, Nepali Movie, mirmire teaser, mirmire movie teaser, mirmire movie promo, mirmire promo, MIRMIRE - New Nepali Movie Official Teaser 2082, Dayahang Rai, Prakash Saput, Srijana Ninglekhu, Nepali Movie MIRMIRE Official Teaser, new nepali movie teaser, movie promo, mirmire movie teaser 2082, new nepali movie, dayahang rai new movie, dayahang rai movie, prakash saput movie, nepali movie, nepal movie teaser, mirmire movie 2082, mirmire film teaser, mirmire",115,hd,False,True,218807,7223,130.0
RnE8igc7n10,2025-12-03 13:47:19+00:00,Don't Leave Your TV ON at 12 AM! 👻,Tyro Gaming,Gaming,"Don't Leave Your TV On At 12 AM!, junkeyy, Shivang mini, Shinchan game, Doraemon Game, Nobita Game, Shinchan in hindi, Shinchan Gaming, Frostbite Gaming, VeryNuclear, Rock Indian Gamer, Amaan-T, Flight Gamer, Carry Depie, Proboiz, Tyro Gaming, Proboii, Taro gaming, Funny Game Roblox, Doraemon New Episode, Shinchan New Episode, Tv Ghost, Roblox Horror",656,hd,False,True,988394,8885,510.0
KoPfl0h6QNI,2025-11-21 13:20:06+00:00,Mr. D -   KAL DHARA | Eleena Chauhan | Kabita Nepali | Prod.By @nepsek,Mr. D,Music,"Mr. D, Mr d, Mr.D, thomas gm, trending music, new rap music video, new rap song, daami rap song, kal dhara ko pani bagyo kholi bagara, ae kanchi kata ho ghar, timro nam ani thegana, naach basanti, oho sabei akkha cha, mr.d lyrics, mr.d best song",178,hd,False,True,1805430,52278,1166.0
BKOVzHcjEIo,2025-11-18 06:50:49+00:00,Dhurandhar Official Trailer | Ranveer Singh | Aditya Dhar | In Cinemas 5th December 2025,JioStudios,Entertainment,"Jio Studios, Dhurandhar First Look, dhurandhar ranveer singh, dhurandhar aditya dhar, dhurandhar movie, dhurandhar teaser, Ranveer singh, aditya dhar, dhurandhar 2025 movies, arjun rampal, dhurandhar song, dhurandhar, dhurandhar hanumankind, dhurandhar r madhavan, dhurandhar sanjay dutt, dhurandhar akshaye khanna, hanumankind ranveer singh, dhurandhar sara arjun, dhurandhar official trailer, dhurandhar trailer, dhurandhar trailer launch, dhurandhar jasmine sandlas",248,hd,True,True,45923903,561860,37118.0
SDPlo4iEC9U,2025-12-05 11:48:22+00:00,Stealing Villagers Emerald with Doorbin in Minecraft..,Karry Kraft,Gaming,"carry depie, minecraft",724,hd,False,True,655698,7869,345.0
lq6DvP7j0Yg,2025-11-29 11:32:56+00:00,Ekdev Limbu X Samir Shrestha - TIMRO MUSKAN  [ Official Video ],Ekdev Limbu,Music,"Ekdev limbu, Samir shrestha, Timro muskan, Ekdev samir timro muskan, Jhim jhimaune aankha, Mero mana ma, New Nepali song, Nepali sad song, Timro muskan mero swroga ho, Sanjha ma ni bihani ni, Timi sabai vanda dherai khas, Samir shrestha new song, Ekdev new song, Collab, Chinoetales, samir shrestha, timro muskaan samir shrestha, ekdev new song timro muskan, new nepali song, new nepali video ekdev limbu, timro angalo ekdev, jhim jhim ekdev",314,hd,False,True,464135,25550,1060.0
