video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
rgIbsMUZX20,ME,2025-12-20 02:21:10.330984+00:00,2025-12-12 23:01:15+00:00,CODA - HEJ GDE SI SAD (OFFICIAL VIDEO),CODA - HEJ GDE SI SAD (OFFICIAL VIDEO),IDJVideos.TV,UCcF7lkZqxzI2asePTbksVdA,10,Music,"idjvideos, pesme, pjesme",3,https://i.ytimg.com/vi/rgIbsMUZX20/hqdefault.jpg,sr,sr,False,188,PT3M8S,hd,False,True,,,356476,14302,721
e0Eo0D038rQ,ME,2025-12-20 02:21:10.331005+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,True,True,,,13921965,562299,23030
hCQkdU0HjBo,ME,2025-12-20 02:21:10.331017+00:00,2025-12-15 08:45:02+00:00,MUDJA VS CALE 🔥 ! Grand Theft Auto V - Lude Trke w/Cale (TRKMAS),MUDJA VS CALE 🔥 ! Grand Theft Auto V - Lude Trke w/Cale (TRKMAS),Mudja,UCZbp-wYt5PiIkGmoEZ6ChmQ,20,Gaming,"Mudja, MudjaPlus",2,https://i.ytimg.com/vi/hCQkdU0HjBo/hqdefault.jpg,sr,sr,False,1101,PT18M21S,hd,False,True,,,445623,56578,2516
bjgDA18pulc,ME,2025-12-20 02:21:10.331025+00:00,2025-12-12 13:00:01+00:00,SAJFER - STRANCI,SAJFER - STRANCI,KODEKS,UCe8X8pwWcFLt7IwgNQjlKxg,24,Entertainment,,0,https://i.ytimg.com/vi/bjgDA18pulc/hqdefault.jpg,hr,bs,False,137,PT2M17S,hd,False,True,,,1298824,6658,378
IEKo8HQAh30,ME,2025-12-20 02:21:10.331033+00:00,2025-12-15 15:00:28+00:00,SRAM S3 (Official Teaser Trailer) #sramhr,SRAM S3 (Official Teaser Trailer) #sramhr,SRAM,UC02vAg73aHlIZKRv5VHi5XA,24,Entertainment,,0,https://i.ytimg.com/vi/IEKo8HQAh30/hqdefault.jpg,hr,hr,False,48,PT48S,hd,True,True,,,108338,6897,461
m4aJ205N4uA,ME,2025-12-20 02:21:10.331040+00:00,2025-12-17 18:29:08+00:00,OTKRIVAM TAJNE U STEAL A BRAINROT!,OTKRIVAM TAJNE U STEAL A BRAINROT!,Dex Rock,UC9-OsEfAts7_SaTRQOBRgjw,24,Entertainment,DexRock,1,https://i.ytimg.com/vi/m4aJ205N4uA/hqdefault.jpg,sr,sr,False,643,PT10M43S,hd,False,True,,,167927,8697,264
YURKt8pu5K0,ME,2025-12-20 02:21:10.331047+00:00,2025-12-09 12:17:06+00:00,Jovana Pajic - LEPO MI STOJI (Official Video),Jovana Pajic - LEPO MI STOJI (Official Video),Jovana Pajic,UCB0JAvBxk4KxM5anJHN9-fQ,10,Music,"jovana, pajic, novo, novi video, spot pesma, new video, jovana pajic ludilo moje, ludilo moje 2024 pajic, new single, ludilo moje 2024 jovana, ludilo jovana pajic, new audio, prezime se brise, jovana prezime, prezime jovana pajic, prezime se brise 2024, prezime jovana 2024, pajic prezime se brise, jovana nova pesma, prezime 2024, prezime se brise official video, lepo mi stoji, lepo mi stoji 2025, jovana lepo mi stoji, lepo mi stoji 2025 pesma, lepo mi stoji spot",26,https://i.ytimg.com/vi/YURKt8pu5K0/hqdefault.jpg,sr,sr,False,225,PT3M45S,hd,False,True,,,1132821,10316,525
YqdAEdkHrwo,ME,2025-12-20 02:21:10.331055+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,15915435,375373,20949
y2sM6-5EDso,ME,2025-12-20 02:21:10.331063+00:00,2025-12-18 23:45:30+00:00,AMONGARAAAAAAAAA,AMONGARAAAAAAAAA,Nugato,UCT1xv_rVS0bvk8ZSz7AKqDw,20,Gaming,"Nugato, baba, Balkan, GTA V, CSGO",5,https://i.ytimg.com/vi/y2sM6-5EDso/hqdefault.jpg,sr,en,False,11288,PT3H8M8S,hd,False,True,,,127691,7280,77
63tdWuk-zEM,ME,2025-12-20 02:21:10.331070+00:00,2025-12-02 16:01:34+00:00,Tea Tairovic - Severna latina (Official Video | Album ASKA II) 2025,Tea Tairovic - Severna latina (Official Video | Album ASKA II) 2025,Tea Tairovic,UCYo2cFsn4NyVH3BF5PfzDkw,10,Music,"bliznakinja, hajde, igracica, intervju, novo, otkad tebe znam, polako, song, svetica, tairovic, tea, tea tairovic, video",13,https://i.ytimg.com/vi/63tdWuk-zEM/hqdefault.jpg,sr,sr,False,136,PT2M16S,hd,False,True,,,3683101,16406,553
