video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
OkqgLqs0L_o,2025-12-04 22:14:46+00:00,Tommy lee Sparta - Dirth Day | Official Music Video,TommyLeeSpartaVEVO,Music,"dancehall, reggae, onerpm, Music, official, audio, video, jamaica, reggae music, dancehall 2025 mix, new music, trop life, dancehall music, reggae 2025, trending, jamaican, caribbean music, trinidad and tobago, trap, best dancehall, trending music, YouTube music, 2025, Dirth Day",295,hd,False,True,792501,44780,8285
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,6101816,523768,29607
4EYfMk9Hc_g,2025-12-06 13:04:38+00:00,I Got MY OWN RITUAL in Steal a Brainrot…,CashBlox,Entertainment,"Cash, Nico, Nico and Cash, Cash and Nico, Minecraft, Minecraft mod, family friendly, kid friendly",952,hd,False,True,1223016,37012,10143
ZBXEJ3HGtm4,2025-12-06 23:38:38+00:00,Masicka - Revelation (Official Audio),Masicka,Music,"Masicka, Dancehall, Jamaica, Jamaican, Dancehall King, Dancehall Nation, Dancehall Official, Teejay, Jah Vinci",231,hd,False,True,461553,30307,9081
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,True,True,5107672,254047,13797
Ntp522Cad-s,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,False,True,1041920,25592,2755
z6gyam6EJXo,2025-11-24 23:36:20+00:00,"Skippa, DJ Mac - WYFL (Official Music Video)",Skippa,Music,,135,hd,False,True,1416433,41211,925
2Yk9GL3YPfE,2025-12-02 18:50:15+00:00,OUR WEDDING DAY: The Official Trailer! *OMG*,Kristen & Reafe,People & Blogs,"Kristen and Reafe, Kristen and Reafe vlogs, Kristen and Reafe Pranks, our wedding day, wedding, kristen and reafe wedding, wedding film, wedding trailer, wedding movie, kristen and reafe wedding video, asking her to marry me, marriage, wedding location, best wedding locations, best wedding venues, couple goals, best couple, youtube couple, youtube couple wedding",492,hd,False,True,110430,13178,1821
jFy_dviwNh0,2025-12-07 15:01:25+00:00,I Found The BEST Method To Steal Brainrots In Steal A Brainrot...,Techy Plays,Gaming,"roblox, brookhaven, funnyroblox, techyblox, techy, crazy fan girls, crazy fan girl, my crazy fan girls",856,hd,False,True,155726,2882,337
sgsaxKnZ1sY,2025-12-05 22:30:12+00:00,"Chronic Law, Skillibeng - No Check (Official Music Video)",ChronicLawVEVO,Music,"Chronic Law, Skillibeng, Poppinzrecords - Collect Di Bread Entertainment, Dancehall",189,hd,False,True,254088,15343,819
KgsTBDRttPg,2025-12-06 14:00:39+00:00,I Got Hunted By the Minecraft LAW,Wemmbu,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, How I DIED on a Hardcore Minecraft SMP, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, parrotx2, spokeishere, wemmbu prisoner, wemmbu prison, lettucek, wemmbu lettucek, wemmbu law, wemmbu escape",4688,hd,False,True,3568793,187704,18995
6NpLdIFVZls,2025-11-28 22:16:08+00:00,"Likkle Vybz, Vybz Kartel, TJTorry - Mi Bredda (Official Audio)",LikkleVybzVEVO,Music,"dancehall, trap, gaza, uptown gaza records, popcaan, skillibeng, chronic law, teacha, likkle addi, redboom supamix, kraiggi badart, badart, zojak world wide, bounty killer, steph curry, messi, gaming, weekend, squash",122,hd,False,True,358942,12361,1043
